Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
-121.735700088,37.2142587799,141,97,47,3598,254,46,207,89,185,188,89,562,112,1,86,316,5,6,316
-120.761433365,37.4213837265,177,125,43,5504,341,50,291,106,254,254,102,318,62,1,84,173,3,3,173
-120.890557427,37.3888322288,175,124,43,5306,334,49,285,114,247,248,102,305,59,1,83,165,3,3,162
-121.105039116,37.3206006129,167,122,44,4925,318,46,271,98,230,234,98,297,61,1,88,171,3,3,171
-120.594980642,37.4202462107,180,126,42,5717,348,51,297,104,259,261,103,344,66,0,85,188,2,2,188
-120.739575459,37.3311942874,178,126,43,5507,342,50,292,115,255,255,103,294,57,1,84,162,3,3,160
-121.600761266,37.1296889712,145,103,47,3796,265,46,219,98,191,195,91,503,97,1,87,280,4,5,276
-121.036478472,37.2397225528,170,123,44,5031,324,48,276,112,234,239,100,287,58,0,87,163,2,2,160
-120.532171794,37.3379905308,182,126,42,5784,351,51,299,104,257,264,104,338,65,0,87,188,2,2,188
-120.37479927,37.3377578358,184,126,41,5972,355,51,304,105,269,269,105,395,76,1,86,220,3,3,220
-121.943960446,37.0016000522,139,78,47,2835,227,63,164,98,176,176,98,691,144,2,91,408,7,7,408
-122.08321698,36.9521934062,144,67,47,2427,219,78,140,109,176,176,109,660,137,2,90,391,8,8,391
-120.664142434,37.2516222693,180,127,42,5603,346,50,295,116,252,258,104,290,55,0,85,159,2,2,157
-120.848230792,37.2111974606,175,126,43,5299,335,49,286,115,246,248,102,276,54,1,84,153,3,3,149
-121.570789475,37.0423137123,153,104,47,3830,273,52,221,100,199,203,98,436,89,1,90,254,4,4,253
-120.983479997,37.1563794643,171,124,44,5071,326,48,278,113,236,241,101,268,54,0,87,152,1,2,149
-121.807853292,36.9784108449,145,86,47,3112,242,61,181,100,182,186,100,552,121,1,94,344,5,5,344
-120.529109978,37.2345163789,182,127,42,5742,351,51,299,117,257,263,105,298,56,0,85,163,2,2,161
-120.261421742,37.2530812044,185,126,41,6032,358,52,306,106,272,272,106,377,69,1,84,203,3,3,203
-120.382953747,37.2165180762,184,127,41,5883,355,52,303,113,261,268,106,326,60,0,84,175,2,2,175
-120.711792468,37.1452843731,178,127,43,5454,341,49,292,116,248,253,103,258,50,0,84,143,1,2,139
-120.843669115,37.1159882831,174,126,44,5258,334,48,286,114,242,247,102,257,50,1,84,143,3,3,138
-121.551051514,36.9527233302,151,102,47,3738,269,52,217,97,200,200,97,385,86,1,95,245,3,3,245
-121.381250091,36.9816490039,152,111,46,4165,283,44,239,100,204,208,92,404,84,1,92,239,3,4,237
-121.787848609,36.8888568458,151,87,47,3146,250,67,183,106,188,193,106,471,97,1,89,276,5,5,276
-120.969819682,37.0608438199,169,124,44,5037,323,45,278,107,233,238,99,257,51,1,85,142,3,3,142
-121.664304696,36.8975332441,150,96,47,3490,261,57,203,100,192,197,100,448,88,1,87,249,5,5,249
-120.550622892,37.102404483,181,128,42,5658,349,50,298,117,255,261,105,259,48,0,85,141,1,2,139
-120.408844514,37.1167971143,183,128,42,5848,354,51,303,117,260,267,106,288,52,0,83,153,2,2,152
-120.713090379,37.0491561511,177,128,43,5431,341,49,292,115,247,253,103,245,47,0,84,136,1,2,132
-120.280581267,37.1379252424,185,127,41,5990,358,52,306,110,265,271,106,327,59,0,84,175,2,2,175
-120.077637039,37.1741062342,186,126,40,6219,361,50,310,115,276,276,105,405,73,1,82,214,3,3,211
-121.52070077,36.8648835781,155,104,47,3800,276,55,220,101,205,206,101,337,70,1,89,198,3,3,198
-121.389613055,36.8860202142,158,111,46,4133,289,51,238,101,210,213,99,359,72,1,87,202,3,4,202
-121.790920836,36.7886832998,151,85,47,3051,247,69,178,108,187,192,108,435,91,1,89,256,5,5,256
-120.874092229,36.9610234989,172,127,44,5220,332,46,285,109,239,244,100,226,46,0,86,129,1,2,128
-120.568615667,37.0050626696,181,129,43,5637,348,49,298,117,254,260,105,246,46,0,84,133,1,2,132
-121.616759924,36.7609403554,150,98,47,3528,262,55,206,107,192,197,99,401,82,1,90,231,4,5,229
-120.728780427,36.9466822877,176,128,43,5398,340,47,292,115,246,251,102,225,44,0,84,125,1,2,123
-120.121712707,37.0697164132,187,127,41,6140,362,52,310,110,275,276,107,332,61,0,83,178,2,2,178
-120.249273652,37.0383710351,186,128,41,6002,359,51,307,107,265,272,107,291,53,0,84,156,2,2,156
-120.397950349,37.0019556458,183,129,42,5826,354,51,304,116,260,266,106,265,48,0,84,141,1,2,141
-121.724612111,36.7092947144,152,88,47,3149,252,67,184,107,189,194,107,394,83,1,89,232,5,5,232
-119.92976945,37.0464825572,188,127,40,6310,365,51,313,116,280,280,106,382,71,1,84,207,3,3,205
-121.941239764,36.6165301065,142,69,48,2480,220,75,145,107,175,175,107,629,127,2,87,359,7,7,359
-120.548754844,36.9144818041,179,130,43,5606,347,48,299,105,252,258,104,230,43,0,83,124,1,2,124
-121.559682984,36.6781008894,153,100,47,3612,267,56,211,108,196,201,101,399,82,1,89,230,4,5,228
-120.722219182,36.8544062712,174,129,44,5372,337,44,292,105,243,248,100,215,43,0,86,123,1,2,123
-120.189344121,36.9518821994,186,129,41,6023,360,51,309,107,272,272,107,272,49,0,84,146,0,0,146
-120.335615934,36.9129613026,184,130,42,5844,355,50,305,106,267,267,106,242,44,0,84,130,0,0,130
-121.664789616,36.6279214337,154,93,47,3357,261,64,196,106,194,199,106,354,75,1,89,207,4,5,207
-120.042334309,36.9492622279,187,129,41,6147,363,52,311,111,276,276,107,294,54,0,84,159,0,0,158
-119.907132975,36.9567928834,189,128,40,6311,366,52,315,117,281,281,107,337,63,0,83,181,1,1,180
-120.434400263,36.8446444884,182,130,42,5745,352,49,303,105,260,263,105,229,43,0,84,124,0,1,124
-121.52337998,36.5910138065,156,102,47,3701,273,57,216,103,200,205,103,390,82,1,89,225,4,5,225
-120.656176255,36.7615860046,175,130,43,5465,340,44,295,100,245,251,100,215,43,0,85,122,1,2,122
-119.736220472,36.9428821151,191,127,39,6487,370,52,318,116,286,286,108,364,67,0,83,194,1,1,192
-120.532497782,36.7705342972,178,131,43,5626,347,46,300,102,251,258,102,221,43,0,84,123,1,2,123
-120.133856392,36.8091532399,186,130,41,6035,361,50,310,107,273,273,107,243,45,0,84,131,0,0,131
-120.253875281,36.7828498651,185,131,42,5904,357,49,308,106,269,269,106,225,42,0,84,122,0,0,122
-120.003052319,36.8272832552,188,130,41,6155,364,51,313,113,277,277,107,260,48,0,84,139,0,0,139
-121.457201869,36.5115405397,158,107,47,3900,282,55,227,105,207,210,103,394,82,1,89,226,3,4,226
-120.36636087,36.7192132791,183,131,42,5809,354,48,306,105,265,265,105,213,41,0,85,119,0,0,119
-120.525087246,36.6759777686,177,131,43,5602,345,44,300,101,250,255,101,219,44,0,85,126,1,2,126
-119.628202891,36.8222570274,191,128,40,6521,371,52,319,117,287,287,108,360,68,0,84,195,1,1,193
-119.91152992,36.7444080422,189,130,41,6253,367,51,315,119,280,280,108,256,48,0,84,139,0,0,137
-121.405789945,36.4277403724,159,109,47,3977,285,54,231,103,213,213,103,380,80,1,89,224,3,3,224
-120.178999408,36.6397003006,186,132,42,5960,359,49,310,107,271,271,107,209,40,0,84,114,0,0,114
-120.464645072,36.5744806691,175,132,43,5614,344,42,301,99,248,254,99,210,43,0,86,125,1,2,125
-121.253838774,36.3940199244,161,115,46,4256,296,50,245,107,218,219,101,376,76,1,89,214,3,3,212
-119.721502033,36.7120660981,191,129,40,6412,370,52,318,119,285,285,109,294,55,0,84,160,0,0,157
-120.335686692,36.5843864447,182,132,43,5779,353,47,306,104,264,264,104,202,40,0,85,114,0,0,114
-120.005035988,36.6404843963,188,131,41,6119,364,50,313,119,276,276,108,219,41,0,84,118,0,0,117
-119.467049424,36.747539057,193,127,39,6665,375,53,322,116,291,291,108,368,68,0,83,195,1,1,193
-121.819973308,36.2412994929,-32768,255,127,65535,-32768,-32768,65535,-32768,-32768,-32768,-32768,65535,65535,65535,65535,65535,65535,65535,65535
-119.831785426,36.6378308881,190,130,41,6311,368,52,317,119,282,282,109,250,46,0,83,136,0,0,132
-121.22921034,36.299692328,161,115,46,4303,297,49,247,101,216,220,101,362,75,1,90,211,3,3,211
-120.335906016,36.4888343037,178,133,43,5734,349,43,305,101,253,259,101,209,44,0,87,124,1,2,124
-120.029982111,36.5391363291,188,132,42,6094,363,50,314,119,275,275,108,203,39,0,83,110,0,0,108
-119.568906283,36.625563322,193,128,40,6548,373,53,320,116,289,289,109,319,62,0,85,174,0,0,174
-119.674817145,36.5736275848,192,130,40,6405,371,52,319,120,285,285,109,256,48,0,84,141,0,0,136
-120.162152707,36.4638640754,185,133,42,5961,359,48,311,106,270,270,106,196,39,0,83,108,0,0,108
-119.814414705,36.5280117043,190,131,41,6280,368,51,317,119,281,281,109,226,43,0,84,124,0,0,119
-121.088717496,36.2522579317,157,120,46,4523,300,41,258,105,217,219,94,399,83,1,90,232,3,3,229
-120.283487901,36.4061363672,180,133,43,5802,352,44,307,102,257,262,102,202,43,0,88,120,0,1,120
-119.425034773,36.5421658377,195,128,39,6653,376,54,322,111,293,293,110,330,65,0,85,181,0,0,181
-119.933857221,36.4271297169,189,132,41,6150,365,50,315,119,277,277,108,200,39,0,83,111,0,0,106
-120.113849405,36.3642371051,184,133,42,5965,358,46,311,116,262,269,105,194,39,0,84,109,2,2,107
-121.091110068,36.1576798089,159,117,46,4425,298,45,253,98,214,220,98,362,78,0,93,223,2,2,223
-120.221070547,36.3191386346,180,133,43,5817,352,43,308,109,256,263,102,200,42,0,88,117,1,2,117
-119.59656186,36.4448613115,193,130,40,6453,373,53,320,120,287,287,110,247,48,0,85,136,0,0,132
-119.71776513,36.4088197026,192,131,41,6329,370,52,318,120,283,283,110,217,42,0,84,120,0,0,115
-119.886912132,36.3338347358,189,132,41,6169,366,50,316,119,278,278,108,195,39,0,84,111,0,0,105
-119.295082775,36.4520309624,197,127,39,6749,379,56,324,111,296,296,111,339,67,0,85,186,0,0,186
-120.964975471,36.0907127394,161,121,46,4621,306,44,262,99,219,225,97,367,77,1,90,215,3,3,215
-120.0037961,36.2894660065,185,133,42,6023,360,46,313,117,264,271,106,191,39,0,84,111,2,2,105
-120.178154284,36.2316999457,179,134,43,5827,351,42,308,113,255,262,102,202,42,0,88,119,1,2,116
-119.532350234,36.3516690736,195,130,40,6513,375,54,321,121,290,290,111,244,48,0,85,134,0,0,131
-119.744085864,36.2945861176,192,132,41,6310,370,52,318,120,283,283,110,207,40,0,84,115,0,0,110
-119.399322912,36.3622678107,196,129,39,6635,377,55,322,121,293,293,112,278,54,0,85,150,0,0,148
-119.155829524,36.3843464814,198,126,38,6927,381,54,326,110,300,300,110,413,83,1,84,228,3,3,228
-120.905960641,36.0084844193,162,121,46,4683,307,43,264,102,221,227,98,352,74,1,90,207,3,3,205
-119.857786076,36.215614841,189,133,42,6175,366,50,316,120,278,279,109,189,38,0,84,108,0,0,102
-120.050542785,36.1592408541,183,134,42,5933,356,44,311,115,261,268,104,189,40,0,88,113,1,2,108
-119.568459998,36.2510272225,194,130,40,6455,374,54,320,122,288,288,111,221,43,0,85,122,0,0,118
-119.704115398,36.208981564,193,132,41,6328,371,52,319,121,284,284,111,200,39,0,84,112,0,0,107
-119.225897309,36.2763705725,198,127,39,6792,380,56,325,121,298,298,112,319,63,0,85,175,2,2,174
-119.900118439,36.1087892951,188,133,42,6096,364,49,315,119,269,276,108,181,36,0,85,106,1,2,98
-119.084861549,36.2573180654,197,126,38,6929,380,53,326,126,299,299,109,383,71,0,82,202,2,2,196
-119.368606954,36.1969001857,197,129,40,6638,378,56,323,122,295,295,113,246,48,0,85,136,0,0,131
-120.032324957,36.0506587597,183,134,42,5942,356,44,311,116,261,268,104,187,40,0,88,112,1,2,109
-119.500978463,36.1435867199,196,131,40,6464,375,54,321,123,290,290,112,208,40,0,84,115,0,0,110
-119.660373194,36.1014761403,193,132,41,6336,372,52,319,122,286,286,111,190,37,0,84,107,0,0,100
-119.233324457,36.1650241039,199,128,39,6761,381,56,324,123,297,298,113,283,55,0,83,153,2,2,152
-119.819398919,36.0207527937,190,133,42,6149,366,50,316,121,271,279,110,179,35,0,83,102,1,2,93
-119.410341611,36.0587382736,198,130,40,6567,378,56,322,123,293,293,114,216,42,0,84,120,0,0,114
-119.222624008,36.0699691226,199,128,39,6737,381,56,324,123,291,298,113,265,51,0,83,143,2,2,140
-119.091561017,36.0951065616,200,127,39,6889,382,56,326,114,301,301,112,332,65,0,84,180,2,2,180
-119.775923054,35.9251001784,191,133,42,6158,366,50,316,121,272,280,111,173,33,0,83,99,1,2,90
-119.655945537,35.9484109777,193,132,41,6283,370,52,318,123,276,285,112,172,33,0,82,98,2,2,89
-119.364671777,35.9609925649,198,130,40,6587,378,56,322,124,285,295,114,213,41,0,83,117,2,2,110
-119.877983507,35.8461341327,185,133,42,5977,358,46,311,117,263,271,107,172,36,0,89,105,1,2,99
-119.164792228,35.9867605905,200,128,39,6804,382,56,325,122,299,299,113,282,55,0,83,152,2,2,150
-119.279283717,35.8849969683,199,130,40,6648,380,56,323,124,287,296,114,222,42,0,82,120,2,2,113
-119.427209541,35.760853498,197,131,41,6432,375,55,320,125,282,291,115,174,32,0,83,97,2,2,87
-119.610851774,35.7225974069,194,132,41,6237,369,53,316,123,276,284,113,155,30,0,82,89,1,2,78
-119.178386586,35.809573092,199,129,39,6705,380,55,324,123,297,297,113,233,43,0,82,124,2,2,117
-119.769531501,35.6399007338,186,133,42,5987,358,47,310,118,264,272,108,155,31,0,86,93,1,2,85
-120.830184472,35.4016926674,160,99,46,3804,275,62,213,115,207,213,108,514,107,1,92,309,3,3,300
-119.331516175,35.6778768711,198,131,40,6527,377,56,321,124,284,293,115,185,34,0,82,101,2,2,91
-119.555546761,35.5978229739,194,132,41,6211,368,53,315,124,275,284,114,150,29,0,82,87,1,2,73
-120.742687699,35.3269986378,161,99,46,3831,277,63,214,110,214,215,109,528,109,1,90,307,3,3,307
-120.668452862,35.2491553743,163,97,46,3747,275,66,209,112,208,215,112,492,107,0,95,308,1,2,308
-119.596096657,35.4513424035,192,131,42,6042,363,53,309,124,271,280,114,136,28,0,84,81,1,2,69
-119.372809117,35.4872179285,197,131,41,6365,373,56,317,125,281,290,116,159,31,0,82,90,2,2,76
-119.220126921,35.4250945207,199,130,40,6477,376,57,319,126,284,294,117,163,31,0,81,91,2,2,79
-119.40040058,35.3874113975,196,130,41,6256,370,56,314,126,278,288,116,153,30,0,81,88,2,2,72
-120.5849014,35.1119940512,167,94,46,3665,277,74,203,125,212,219,118,436,87,0,90,257,2,2,246
-119.290596451,35.3081594396,198,130,41,6329,373,58,314,127,281,291,118,162,32,0,80,92,2,2,75
-120.466716761,35.0390434984,165,96,46,3777,278,69,208,121,211,219,115,377,78,0,92,232,1,2,212
-118.994433279,35.2782304779,203,129,40,6625,381,60,321,128,290,300,119,191,34,0,79,101,2,3,95
-120.637399814,34.8891006022,155,78,46,3052,247,77,169,119,193,198,115,425,85,0,90,253,2,2,228
-120.396587787,34.9286470191,167,96,46,3788,280,71,208,123,213,221,117,356,69,0,88,204,1,2,184
-118.84880421,35.1655004715,202,128,40,6618,380,60,319,146,289,299,118,234,39,1,75,114,4,6,109
-120.39572727,34.7527694438,159,85,46,3375,259,74,185,119,199,207,115,348,73,0,92,213,1,2,181
-120.600734979,34.6888989977,160,66,46,2637,238,93,144,129,189,197,126,359,74,0,90,216,1,2,183
-120.338407955,34.6047103143,157,76,45,3069,248,81,167,121,193,201,118,421,86,0,92,255,1,2,226
-120.187774408,34.6014873309,163,86,45,3495,266,77,189,122,205,213,118,414,88,0,94,257,1,2,237
-118.920864255,34.2814377167,182,100,43,4560,309,77,231,129,239,249,125,395,88,0,98,259,1,2,230
-119.57301183,34.0430649519,171,62,43,2888,251,105,145,137,203,213,136,568,130,0,100,374,1,2,350
-116.233816449,33.7467299041,234,134,40,6941,416,81,335,144,286,334,143,95,17,0,61,46,2,23,46
-116.136660264,33.6634468717,237,134,40,6936,419,84,335,146,289,337,146,84,16,0,62,42,1,21,42
-116.01791489,33.5781532343,239,135,40,6964,422,86,335,148,291,340,147,83,14,0,58,38,1,23,38
-116.140119301,33.5515708726,237,134,40,6842,417,85,332,147,287,336,147,81,16,0,66,43,1,18,43
-115.910716726,33.5017291893,238,135,39,7019,422,85,337,150,291,340,146,82,13,1,55,35,3,25,35
-116.08451875,33.4630824807,237,135,40,6795,417,86,331,148,287,335,148,76,15,0,63,40,1,18,40
-114.59532669,33.679460692,251,130,37,7718,435,85,350,358,316,358,148,95,19,1,61,45,3,45,32
-115.694448021,33.4275087499,238,135,39,7091,422,83,338,145,292,340,144,82,12,0,53,34,2,26,34
-114.54527295,33.5926309872,252,130,37,7700,437,87,349,360,317,360,149,100,19,1,58,44,3,44,36
-114.709213912,33.5570001301,250,131,37,7618,434,86,348,356,313,356,148,87,16,0,58,38,2,38,31
-115.943661325,33.3355262839,242,135,40,6849,423,90,332,152,292,341,152,72,13,0,61,36,1,18,36
-115.621998334,33.3209540177,248,135,39,7110,433,93,339,155,303,350,155,67,11,0,57,30,1,21,30
-114.656305382,33.4723100935,252,131,37,7619,436,88,348,359,315,359,150,96,17,1,57,40,3,40,34
-115.848324585,33.2234822738,242,135,40,6820,423,91,332,152,292,341,152,66,12,0,61,33,1,17,33
-115.543860364,33.2422571842,249,135,39,7089,433,94,338,156,303,351,156,64,10,0,55,28,1,20,28
-115.816533436,33.1364966246,242,136,40,6798,423,92,331,153,292,341,153,64,11,0,59,31,1,18,31
-115.648568369,33.1614864084,247,136,40,6963,430,94,336,156,299,347,156,62,10,0,58,29,1,19,29
-115.419852051,33.1711519282,248,135,39,7141,433,93,340,154,303,351,154,66,9,0,58,27,0,23,27
-115.529724203,33.0898717709,248,136,40,7043,432,94,338,156,302,350,156,61,10,0,60,28,0,19,28
-115.709414252,33.0583138093,243,136,40,6820,424,92,332,153,293,341,153,62,11,0,60,31,1,17,31
-115.389504257,33.0838781038,249,135,39,7130,434,93,340,155,304,351,155,63,9,0,57,26,0,22,26
-115.679488803,32.9712548776,241,136,41,6802,422,90,332,152,291,339,152,61,11,0,59,30,1,17,30
-115.56917127,32.9904909179,245,136,40,6934,428,93,335,154,297,345,154,61,10,0,59,28,0,19,28
-115.354543607,32.9976636758,249,136,40,7102,433,93,339,155,303,350,155,64,9,0,58,27,0,22,27
-115.514156642,32.9077746334,246,137,40,6935,429,93,335,155,298,346,155,59,9,0,59,26,0,19,26
-115.732258998,32.8694219405,239,137,41,6682,419,89,329,151,287,336,151,76,12,0,57,35,1,22,35
-115.31965911,32.9114272274,249,136,40,7098,432,93,339,155,303,350,155,64,9,0,59,27,0,22,27
-115.496493314,32.8185636593,246,137,40,6934,428,92,336,154,297,345,154,66,10,0,59,30,0,20,30
-115.690715177,32.7843909727,239,137,41,6689,420,90,329,152,288,336,152,85,14,0,59,39,1,24,39
-115.361805511,32.8116566554,247,136,40,7038,431,93,338,155,301,348,155,64,9,0,61,27,0,21,27
-115.493053028,32.7268734325,244,137,40,6899,427,92,335,154,296,344,154,72,11,0,60,31,1,23,31
-115.604780997,32.7068462473,241,137,41,6749,422,90,331,153,290,338,153,88,13,0,59,39,1,26,39
-115.366401961,32.7186010848,246,137,40,7008,430,92,337,154,299,347,154,65,10,0,60,28,0,22,28
-114.574971327,32.7423295243,255,132,38,7393,435,92,342,177,315,358,155,76,11,0,55,30,1,28,30
